Gene Symbol,Uniprot ID
METTL4,Q8N3J2
TRDMT1,O14717
PRMT1,Q99873
DNMT1,P26358
NSUN4,Q96CB9
FBLL1,A6NHQ2
HENMT1,Q5T8I9
NSUN7,Q8NE18
BCDIN3D,Q7Z5W3
PRMT8,Q9NR22
NSUN3,Q9H649
THUMPD3,Q9BV44
NSUN2,Q08J23
SETD2,Q9BYW2
METTL3,Q86U44
NSUN6,Q8TEA1
KMT2C,Q8NEZ4
EMG1,Q92979
CHTOP,Q9Y3Y2
FAM98B,Q52LJ0
FAM98A,Q8NCA5
AUH,Q13825
TFB1M,Q8WVM0
MECP2,P51608
METTL16,Q86W50
MEPCE,Q7L2J0
RNMT,O43148
METTL14,Q9HCE5
TARBP1,Q13395
TRMT1,Q9NXH9
SNORD61,
MBD3,O95983
FTSJ1,Q9UET6
METTL8,Q9H825
THUMPD2,Q9BTF0
ZBTB21,Q9ULJ3
CGGBP1,Q9UFW8
SNORD112,
FBL,P22087
SMYD3,Q9H7B4
BAZ2A,Q9UIF9
SNORD50A,
GATAD2B,Q8WXI9
CTCFL,Q8NI51
RRP8,O43159
MBD3L5,A6NJ08
MBD3L3,A6NE82
TRMT10C,Q7L0Y3
PRDM15,P57071
ZC3H13,Q5T200
SETD1A,O15047
NOP2,P46087
DIMT1,Q9UNQ2
NSUN5,Q96P11
MRM1,Q6IN84
PRDM13,Q9H4Q3
TRMT6,Q9UJA5
NSUN5P2,Q63ZY6
NSUN5P1,Q3KNT7
GRIA2,P42262
PLAGL1,Q9UM63
TET3,O43151
PAF1,Q8N7H5
CBX8,Q9HC52
CBX6,O95503
VTRNA2-1,
SNORD87,
CDC73,Q6P1J9
TGS1,Q96RS0
VIRMA,Q69YN4
PAXBP1,Q9Y5B6
GNAS,P84996
GRIA3,P42263
GRIA4,P48058
HOXA5,P20719
COIL,P38432
GSPT1,P15170
POU2F3,Q9UKI9
NARF,Q9UHQ1
GRWD1,Q9BQ67
PYGO1,Q9Y3Y4
DCP2,Q8IU60
KDM7A,Q6ZMT4
TDRD3,Q9H7E2
NKX2-8,O15522
ZZZ3,Q8IYH5
ERH,P84090
KCNQ1OT1,
FENDRR,
SNORD83A,
SNORD83B,
SNORD43,
ESRRG,P62508
SUV39H2,Q9H5I1
TRMU,O75648
DMAP1,Q9NPF5
TFB2M,Q9H5Q4
TRMT2A,Q8IZ69
LEO1,Q8WVC0
FTSJ3,Q8IY81
TRMT10A,Q8TBZ6
WIZ,O95785
PCIF1,Q9H4Z3
PRDM11,Q9NQV5
RAMAC,Q9BTL3
TRMT1L,Q7Z2T5
ZEB1-AS1,
LOC115801449,
LOC116186927,
LOC116276504,
